Gene,Regulation,Timepoint
COL7A1,Up,1h
COL9A2,Up,1h
COLGALT1,Up,1h
COMMD3,Up,1h
COMMD4,Up,1h
COMMD5,Up,1h
COMMD7,Up,1h
COMT,Up,1h
COPB2,Up,1h
COPE,Up,1h
COPG1,Up,1h
COPG2,Up,1h
COPRS,Up,1h
COPS4,Up,1h
COPS5,Up,1h
COPS6,Up,1h
COPS7A,Up,1h
COPS7B,Up,1h
COPS8,Up,1h
COPZ2,Up,1h
COQ2,Up,1h
COQ4,Up,1h
COQ5,Up,1h
COQ6,Up,1h
CORO1A,Up,1h
CORO1B,Up,1h
CORO1C,Up,1h
CORO2B,Up,1h
CORO7,Up,1h
COTL1,Up,1h
COX10,Up,1h
COX15,Up,1h
COX17,Up,1h
COX20,Up,1h
COX4I1,Up,1h
COX5A,Up,1h
COX5B,Up,1h
COX6A1,Up,1h
COX6B1,Up,1h
COX6C,Up,1h
COX7A2,Up,1h
COX7B,Up,1h
COX7C,Up,1h
COX8A,Up,1h
CPA4,Up,1h
CPAMD8,Up,1h
CPNE1,Up,1h
CPNE2,Up,1h
CPPED1,Up,1h
CPQ,Up,1h
CPSF1,Up,1h
CPSF3L,Up,1h
CPSF4,Up,1h
CPSF6,Up,1h
CPSF7,Up,1h
CPT1A,Up,1h
CRAMP1L,Up,1h
CRAT,Up,1h
CRCP,Up,1h
CREB3,Up,1h
CREBBP,Up,1h
CRELD2,Up,1h
CREM,Up,1h
CRIP1,Up,1h
CRKL,Up,1h
CROCCP2,Up,1h
CRTAP,Up,1h
CRTC2,Up,1h
CRTC3,Up,1h
CRY1,Up,1h
CRY2,Up,1h
CS,Up,1h
CSDE1,Up,1h
CSF1R,Up,1h
CSGALNACT2,Up,1h
CSK,Up,1h
CSNK1D,Up,1h
CSNK1E,Up,1h
CSNK1G2,Up,1h
CSNK2A2,Up,1h
CSNK2B,Up,1h
CSPG4,Up,1h
CSRNP1,Up,1h
CSRNP2,Up,1h
CSRP1,Up,1h
CST3,Up,1h
CSTA,Up,1h
CSTB,Up,1h
CSTF1,Up,1h
CTBP1,Up,1h
CTBP1-AS,Up,1h
CTBP1-AS2,Up,1h
CTBP2,Up,1h
CTC1,Up,1h
CTDP1,Up,1h
CTDSP2,Up,1h
CTIF,Up,1h
CTNNA1,Up,1h
CTNNBL1,Up,1h
CTNND1,Up,1h
CTPS1,Up,1h
CTR9,Up,1h
CTSA,Up,1h
CTSB,Up,1h
CTSD,Up,1h
CTSH,Up,1h
CTSL,Up,1h
CTSV,Up,1h
CTSW,Up,1h
CTSZ,Up,1h
CTTN,Up,1h
CTTNBP2NL,Up,1h
CTU2,Up,1h
CUEDC1,Up,1h
CUEDC2,Up,1h
CUL1,Up,1h
CUL3,Up,1h
CUL4A,Up,1h
CUL7,Up,1h
CUTA,Up,1h
CUTC,Up,1h
CUX2,Up,1h
CWC15,Up,1h
CWC27,Up,1h
CXCL1,Up,1h
CXCR5,Up,1h
CXorf40A,Up,1h
CXorf40B,Up,1h
CXXC1,Up,1h
CXXC5,Up,1h
CYB561A3,Up,1h
CYB561D1,Up,1h
CYB5A,Up,1h
CYB5B,Up,1h
CYB5R3,Up,1h
CYBA,Up,1h
CYBB,Up,1h
CYC1,Up,1h
CYCS,Up,1h
CYHR1,Up,1h
CYLD,Up,1h
CYP1B1,Up,1h
CYP27A1,Up,1h
CYSLTR1,Up,1h
CYTH1,Up,1h
CYTH2,Up,1h
CYTH4,Up,1h
CYTIP,Up,1h
D2HGDH,Up,1h
DAD1,Up,1h
DAGLA,Up,1h
DAGLB,Up,1h
DANCR,Up,1h
DAP,Up,1h
DAP3,Up,1h
DAPK1,Up,1h
DAPK3,Up,1h
DAPL1,Up,1h
DAXX,Up,1h
DAZAP1,Up,1h
DAZAP2,Up,1h
DBI,Up,1h
DBN1,Up,1h
DBNDD2,Up,1h
DBNL,Up,1h
DCAF10,Up,1h
DCAF11,Up,1h
DCAF12,Up,1h
DCAF4,Up,1h
DCAF5,Up,1h
DCAF6,Up,1h
DCAF7,Up,1h
DCBLD1,Up,1h
DCLRE1B,Up,1h
DCPS,Up,1h
DCTD,Up,1h
DCTN1,Up,1h
DCTN2,Up,1h
DCTN3,Up,1h
DCTN5,Up,1h
DCTN6,Up,1h
DCTPP1,Up,1h
